name,id,acousticenss,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,type,uri,valence
20 Min,0uxSUdBrJy9Un0EYoBowng,0.109,0.773,220587,0.75,0,8,0.174,-4.009,0,0.117,123.426,4,audio_features,spotify:track:0uxSUdBrJy9Un0EYoBowng,0.783
XO Tour Llif3,3EWaR09H3TkRgaLTIheYFr,0.00264,0.732,182707,0.75,0,11,0.109,-6.366,0,0.231,155.096,4,audio_features,spotify:track:3EWaR09H3TkRgaLTIheYFr,0.401
goosebumps,6gBFPUFcJLzWGx4lenP6h2,0.0847,0.841,243837,0.728,0,7,0.149,-3.37,1,0.0484,130.049,4,audio_features,spotify:track:6gBFPUFcJLzWGx4lenP6h2,0.43
7AM,4v1P7JCjehbg5TmLQo2mFy,0.275,0.638,219712,0.526,0,7,0.462,-8.401,1,0.131,139.054,4,audio_features,spotify:track:4v1P7JCjehbg5TmLQo2mFy,0.301
The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,0.617,0.703,221747,0.757,0,1,0.106,-3.612,1,0.05,82.008,4,audio_features,spotify:track:2eAZfqOm4EnOF9VvN50Tyc,0.696
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,0.469,0.872,119133,0.391,4.13e-06,0,0.297,-9.144,0,0.242,134.021,4,audio_features,spotify:track:7m9OqQk4RVRkw9JJdeAw96,0.437
Money Longer,0B8QzDH7YWih85V5SEMnyJ,0.0541,0.795,198944,0.568,0,5,0.108,-7.817,0,0.142,136.173,4,audio_features,spotify:track:0B8QzDH7YWih85V5SEMnyJ,0.478
Ps & Qs,1gGsNNUfvVMOv4llVMg8Vg,0.235,0.522,221538,0.428,2.35e-06,11,0.278,-11.332,0,0.143,129.829,4,audio_features,spotify:track:1gGsNNUfvVMOv4llVMg8Vg,0.399
Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,0.0172,0.797,146520,0.533,0.000152,0,0.103,-9.74,0,0.0412,131.036,4,audio_features,spotify:track:7AQim7LbvFVZJE3O8TYgf2,0.329
Love Me,4e0FYxSROat25pH16zMTZI,0.632,0.719,117013,0.538,0,11,0.135,-6.897,0,0.28,204.132,4,audio_features,spotify:track:4e0FYxSROat25pH16zMTZI,0.803
